device,ip,app,os,channel,click_time,attributed_time,is_attributed
76,70,70,70,70,70,14,70
77,4,4,4,4,4,1,4
78,115,115,115,115,115,22,115
79,13,13,13,13,13,2,13
80,10,10,10,10,10,1,10
81,3,3,3,3,3,0,3
82,123,123,123,123,123,26,123
83,6,6,6,6,6,0,6
84,12,12,12,12,12,4,12
86,15,15,15,15,15,3,15
87,2,2,2,2,2,1,2
88,174,174,174,174,174,47,174
89,47,47,47,47,47,7,47
90,1,1,1,1,1,0,1
92,27,27,27,27,27,2,27
93,1,1,1,1,1,0,1
94,27,27,27,27,27,9,27
95,32,32,32,32,32,9,32
96,109,109,109,109,109,18,109
97,142,142,142,142,142,31,142
99,12,12,12,12,12,0,12
100,62,62,62,62,62,12,62
101,82,82,82,82,82,24,82
102,29,29,29,29,29,8,29
103,65,65,65,65,65,13,65
104,28,28,28,28,28,3,28
105,2,2,2,2,2,1,2
106,36,36,36,36,36,4,36
107,3,3,3,3,3,1,3
108,6,6,6,6,6,0,6
109,168,168,168,168,168,40,168
110,6,6,6,6,6,2,6
112,24,24,24,24,24,5,24
113,5,5,5,5,5,0,5
114,199,199,199,199,199,35,199
115,13,13,13,13,13,1,13
116,28,28,28,28,28,7,28
117,2,2,2,2,2,0,2
118,27,27,27,27,27,6,27
119,2,2,2,2,2,0,2
120,2,2,2,2,2,0,2
122,21,21,21,21,21,5,21
123,5,5,5,5,5,1,5
124,67,67,67,67,67,8,67
126,5,5,5,5,5,1,5
127,47,47,47,47,47,8,47
128,7,7,7,7,7,1,7
129,49,49,49,49,49,8,49
130,2,2,2,2,2,0,2
131,11,11,11,11,11,1,11
132,17,17,17,17,17,2,17
133,3,3,3,3,3,3,3
134,12,12,12,12,12,1,12
136,97,97,97,97,97,19,97
137,72,72,72,72,72,20,72
138,6,6,6,6,6,1,6
139,1,1,1,1,1,0,1
140,12,12,12,12,12,2,12
141,17,17,17,17,17,5,17
142,5,5,5,5,5,0,5
144,2,2,2,2,2,0,2
145,3,3,3,3,3,1,3
147,10,10,10,10,10,1,10
148,6,6,6,6,6,1,6
149,4,4,4,4,4,0,4
150,10,10,10,10,10,0,10
151,3,3,3,3,3,0,3
152,8,8,8,8,8,0,8
153,16,16,16,16,16,5,16
154,228,228,228,228,228,44,228
155,16,16,16,16,16,1,16
156,14,14,14,14,14,2,14
157,16,16,16,16,16,2,16
158,2,2,2,2,2,1,2
159,3,3,3,3,3,0,3
160,48,48,48,48,48,11,48
161,17,17,17,17,17,3,17
162,12,12,12,12,12,1,12
163,13,13,13,13,13,1,13
165,5,5,5,5,5,1,5
166,25,25,25,25,25,7,25
167,23,23,23,23,23,4,23
168,33,33,33,33,33,8,33
169,17,17,17,17,17,5,17
170,5,5,5,5,5,1,5
171,21,21,21,21,21,4,21
172,11,11,11,11,11,3,11
173,11,11,11,11,11,0,11
174,2,2,2,2,2,0,2
177,12,12,12,12,12,1,12
178,1,1,1,1,1,0,1
179,2,2,2,2,2,0,2
180,18,18,18,18,18,6,18
181,19,19,19,19,19,6,19
182,68,68,68,68,68,0,68
183,17,17,17,17,17,4,17
184,9,9,9,9,9,4,9
185,2,2,2,2,2,1,2
186,5,5,5,5,5,1,5
187,21,21,21,21,21,2,21
188,16,16,16,16,16,3,16
189,43,43,43,43,43,9,43
190,41,41,41,41,41,9,41
192,1,1,1,1,1,0,1
194,8,8,8,8,8,1,8
195,3,3,3,3,3,0,3
196,12,12,12,12,12,0,12
197,5,5,5,5,5,2,5
198,1,1,1,1,1,0,1
199,8,8,8,8,8,0,8
200,9,9,9,9,9,1,9
201,8,8,8,8,8,1,8
202,14,14,14,14,14,1,14
203,133,133,133,133,133,15,133
204,15,15,15,15,15,1,15
205,1,1,1,1,1,0,1
206,5,5,5,5,5,2,5
207,8,8,8,8,8,1,8
208,19,19,19,19,19,1,19
209,30,30,30,30,30,2,30
210,86,86,86,86,86,18,86
211,89,89,89,89,89,18,89
212,19,19,19,19,19,4,19
213,4,4,4,4,4,0,4
214,65,65,65,65,65,14,65
215,1,1,1,1,1,0,1
217,13,13,13,13,13,0,13
218,3,3,3,3,3,0,3
219,1,1,1,1,1,0,1
220,82,82,82,82,82,13,82
221,6,6,6,6,6,1,6
222,1,1,1,1,1,0,1
223,2,2,2,2,2,0,2
224,9,9,9,9,9,3,9
225,3,3,3,3,3,2,3
226,6,6,6,6,6,0,6
229,39,39,39,39,39,6,39
230,28,28,28,28,28,8,28
231,61,61,61,61,61,12,61
232,1,1,1,1,1,0,1
233,5,5,5,5,5,1,5
234,68,68,68,68,68,10,68
235,25,25,25,25,25,3,25
236,19,19,19,19,19,6,19
237,1,1,1,1,1,0,1
239,15,15,15,15,15,1,15
240,33,33,33,33,33,6,33
241,46,46,46,46,46,8,46
242,11,11,11,11,11,0,11
244,7,7,7,7,7,1,7
246,5,5,5,5,5,1,5
247,2,2,2,2,2,0,2
248,4,4,4,4,4,0,4
249,10,10,10,10,10,1,10
250,5,5,5,5,5,0,5
251,37,37,37,37,37,9,37
252,1,1,1,1,1,0,1
253,5,5,5,5,5,0,5
254,11,11,11,11,11,4,11
257,2,2,2,2,2,0,2
259,7,7,7,7,7,1,7
260,16,16,16,16,16,2,16
261,5,5,5,5,5,0,5
262,29,29,29,29,29,3,29
263,53,53,53,53,53,8,53
264,22,22,22,22,22,5,22
265,1,1,1,1,1,0,1
266,12,12,12,12,12,1,12
268,2,2,2,2,2,0,2
269,7,7,7,7,7,3,7
270,13,13,13,13,13,0,13
271,3,3,3,3,3,1,3
272,1,1,1,1,1,0,1
273,1,1,1,1,1,1,1
274,12,12,12,12,12,1,12
275,14,14,14,14,14,1,14
276,55,55,55,55,55,4,55
277,2,2,2,2,2,0,2
278,1,1,1,1,1,0,1
280,25,25,25,25,25,5,25
284,1,1,1,1,1,0,1
285,2,2,2,2,2,0,2
286,3,3,3,3,3,1,3
287,6,6,6,6,6,1,6
288,10,10,10,10,10,1,10
289,8,8,8,8,8,1,8
290,14,14,14,14,14,3,14
291,10,10,10,10,10,0,10
292,22,22,22,22,22,4,22
293,2,2,2,2,2,0,2
294,4,4,4,4,4,0,4
296,1,1,1,1,1,0,1
297,3,3,3,3,3,0,3
298,3,3,3,3,3,0,3
299,76,76,76,76,76,16,76
300,1,1,1,1,1,1,1
301,20,20,20,20,20,4,20
303,1,1,1,1,1,0,1
304,2,2,2,2,2,0,2
306,1,1,1,1,1,0,1
307,1,1,1,1,1,1,1
308,13,13,13,13,13,3,13
309,26,26,26,26,26,5,26
310,9,9,9,9,9,1,9
311,9,9,9,9,9,2,9
312,1,1,1,1,1,0,1
313,12,12,12,12,12,2,12
314,9,9,9,9,9,2,9
315,7,7,7,7,7,0,7
316,1,1,1,1,1,0,1
317,5,5,5,5,5,0,5
318,1,1,1,1,1,0,1
319,7,7,7,7,7,3,7
320,9,9,9,9,9,1,9
321,4,4,4,4,4,0,4
322,19,19,19,19,19,4,19
324,2,2,2,2,2,0,2
325,1,1,1,1,1,0,1
326,3,3,3,3,3,0,3
329,32,32,32,32,32,7,32
330,3,3,3,3,3,1,3
331,8,8,8,8,8,5,8
332,1,1,1,1,1,0,1
333,15,15,15,15,15,3,15
334,34,34,34,34,34,3,34
335,1,1,1,1,1,0,1
336,5,5,5,5,5,0,5
337,19,19,19,19,19,5,19
338,27,27,27,27,27,6,27
339,11,11,11,11,11,3,11
340,8,8,8,8,8,0,8
341,8,8,8,8,8,0,8
342,7,7,7,7,7,2,7
343,76,76,76,76,76,13,76
344,27,27,27,27,27,3,27
345,2,2,2,2,2,0,2
346,3,3,3,3,3,1,3
347,12,12,12,12,12,1,12
348,14,14,14,14,14,1,14
349,3,3,3,3,3,0,3
350,30,30,30,30,30,2,30
351,27,27,27,27,27,4,27
353,1,1,1,1,1,0,1
354,1,1,1,1,1,1,1
356,11,11,11,11,11,3,11
357,22,22,22,22,22,8,22
358,3,3,3,3,3,0,3
360,1,1,1,1,1,0,1
361,4,4,4,4,4,0,4
362,23,23,23,23,23,2,23
363,5,5,5,5,5,1,5
365,3,3,3,3,3,1,3
367,23,23,23,23,23,7,23
369,1,1,1,1,1,1,1
370,1,1,1,1,1,0,1
372,18,18,18,18,18,2,18
374,51,51,51,51,51,14,51
376,6,6,6,6,6,0,6
377,16,16,16,16,16,0,16
378,3,3,3,3,3,0,3
379,56,56,56,56,56,10,56
380,2,2,2,2,2,1,2
381,46,46,46,46,46,6,46
382,8,8,8,8,8,2,8
383,10,10,10,10,10,3,10
384,10,10,10,10,10,1,10
385,11,11,11,11,11,2,11
386,9,9,9,9,9,2,9
387,15,15,15,15,15,1,15
388,2,2,2,2,2,0,2
389,12,12,12,12,12,0,12
390,1,1,1,1,1,0,1
392,1,1,1,1,1,0,1
393,1,1,1,1,1,0,1
395,39,39,39,39,39,9,39
396,42,42,42,42,42,8,42
397,1,1,1,1,1,0,1
398,6,6,6,6,6,1,6
399,10,10,10,10,10,1,10
400,10,10,10,10,10,1,10
401,16,16,16,16,16,2,16
402,2,2,2,2,2,0,2
403,5,5,5,5,5,0,5
405,11,11,11,11,11,3,11
406,1,1,1,1,1,0,1
407,1,1,1,1,1,0,1
408,2,2,2,2,2,0,2
409,16,16,16,16,16,4,16
410,8,8,8,8,8,3,8
411,1,1,1,1,1,0,1
413,4,4,4,4,4,1,4
414,14,14,14,14,14,2,14
415,7,7,7,7,7,1,7
416,4,4,4,4,4,0,4
417,27,27,27,27,27,6,27
418,3,3,3,3,3,0,3
419,4,4,4,4,4,0,4
420,4,4,4,4,4,2,4
421,7,7,7,7,7,1,7
422,25,25,25,25,25,5,25
423,5,5,5,5,5,1,5
424,5,5,5,5,5,0,5
427,1,1,1,1,1,0,1
430,3,3,3,3,3,1,3
431,27,27,27,27,27,5,27
432,3,3,3,3,3,0,3
433,2,2,2,2,2,1,2
435,3,3,3,3,3,1,3
436,1,1,1,1,1,1,1
437,13,13,13,13,13,1,13
438,1,1,1,1,1,0,1
439,3,3,3,3,3,1,3
441,9,9,9,9,9,1,9
442,2,2,2,2,2,0,2
443,1,1,1,1,1,0,1
446,1,1,1,1,1,0,1
447,18,18,18,18,18,2,18
448,1,1,1,1,1,0,1
453,16,16,16,16,16,3,16
454,4,4,4,4,4,0,4
458,3,3,3,3,3,0,3
459,9,9,9,9,9,1,9
460,5,5,5,5,5,0,5
461,2,2,2,2,2,0,2
462,6,6,6,6,6,2,6
463,1,1,1,1,1,0,1
465,6,6,6,6,6,1,6
466,9,9,9,9,9,1,9
467,3,3,3,3,3,0,3
468,2,2,2,2,2,0,2
469,6,6,6,6,6,1,6
470,9,9,9,9,9,3,9
472,24,24,24,24,24,2,24
477,10,10,10,10,10,4,10
479,16,16,16,16,16,2,16
480,4,4,4,4,4,0,4
481,1,1,1,1,1,0,1
482,4,4,4,4,4,0,4
483,5,5,5,5,5,0,5
485,2,2,2,2,2,1,2
486,34,34,34,34,34,5,34
487,1,1,1,1,1,0,1
488,1,1,1,1,1,0,1
490,5,5,5,5,5,1,5
493,2,2,2,2,2,0,2
494,22,22,22,22,22,3,22
495,3,3,3,3,3,1,3
496,3,3,3,3,3,0,3
497,11,11,11,11,11,3,11
498,3,3,3,3,3,0,3
501,2,2,2,2,2,1,2
503,19,19,19,19,19,7,19
504,3,3,3,3,3,1,3
505,2,2,2,2,2,1,2
506,1,1,1,1,1,0,1
507,1,1,1,1,1,0,1
508,1,1,1,1,1,0,1
509,5,5,5,5,5,1,5
510,1,1,1,1,1,0,1
511,3,3,3,3,3,1,3
513,9,9,9,9,9,3,9
517,1,1,1,1,1,0,1
518,1,1,1,1,1,0,1
519,3,3,3,3,3,0,3
523,2,2,2,2,2,0,2
526,3,3,3,3,3,0,3
528,8,8,8,8,8,0,8
530,1,1,1,1,1,0,1
531,1,1,1,1,1,0,1
533,3,3,3,3,3,1,3
536,1,1,1,1,1,0,1
537,17,17,17,17,17,6,17
538,6,6,6,6,6,0,6
539,1,1,1,1,1,0,1
540,4,4,4,4,4,0,4
542,6,6,6,6,6,2,6
543,1,1,1,1,1,0,1
544,10,10,10,10,10,0,10
545,22,22,22,22,22,1,22
547,1,1,1,1,1,0,1
551,1,1,1,1,1,0,1
553,1,1,1,1,1,0,1
554,3,3,3,3,3,0,3
555,8,8,8,8,8,1,8
556,21,21,21,21,21,3,21
557,6,6,6,6,6,0,6
558,67,67,67,67,67,11,67
562,1,1,1,1,1,1,1
564,11,11,11,11,11,1,11
565,7,7,7,7,7,0,7
566,3,3,3,3,3,0,3
567,2,2,2,2,2,1,2
568,1,1,1,1,1,1,1
569,12,12,12,12,12,2,12
570,4,4,4,4,4,1,4
571,4,4,4,4,4,0,4
572,1,1,1,1,1,0,1
575,1,1,1,1,1,0,1
576,3,3,3,3,3,0,3
577,11,11,11,11,11,1,11
578,4,4,4,4,4,1,4
579,33,33,33,33,33,3,33
580,4,4,4,4,4,1,4
581,18,18,18,18,18,2,18
582,1,1,1,1,1,0,1
584,4,4,4,4,4,0,4
587,7,7,7,7,7,1,7
588,2,2,2,2,2,1,2
591,2,2,2,2,2,0,2
592,13,13,13,13,13,0,13
596,9,9,9,9,9,0,9
599,1,1,1,1,1,0,1
601,1,1,1,1,1,0,1
605,7,7,7,7,7,1,7
607,1,1,1,1,1,0,1
608,2,2,2,2,2,0,2
610,1,1,1,1,1,0,1
611,1,1,1,1,1,0,1
613,2,2,2,2,2,0,2
614,1,1,1,1,1,0,1
616,8,8,8,8,8,2,8
617,1,1,1,1,1,0,1
620,1,1,1,1,1,0,1
621,3,3,3,3,3,1,3
623,2,2,2,2,2,0,2
624,5,5,5,5,5,1,5
625,1,1,1,1,1,0,1
626,3,3,3,3,3,0,3
627,1,1,1,1,1,0,1
629,1,1,1,1,1,0,1
632,5,5,5,5,5,0,5
636,4,4,4,4,4,1,4
637,5,5,5,5,5,0,5
638,1,1,1,1,1,0,1
640,6,6,6,6,6,1,6
641,11,11,11,11,11,2,11
643,15,15,15,15,15,1,15
644,3,3,3,3,3,0,3
648,5,5,5,5,5,0,5
649,1,1,1,1,1,1,1
650,1,1,1,1,1,0,1
652,1,1,1,1,1,0,1
653,10,10,10,10,10,2,10
654,3,3,3,3,3,0,3
655,5,5,5,5,5,1,5
656,6,6,6,6,6,2,6
657,11,11,11,11,11,2,11
658,11,11,11,11,11,4,11
660,2,2,2,2,2,0,2
666,1,1,1,1,1,0,1
667,9,9,9,9,9,2,9
669,2,2,2,2,2,2,2
670,3,3,3,3,3,0,3
672,2,2,2,2,2,2,2
673,1,1,1,1,1,0,1
677,4,4,4,4,4,1,4
682,1,1,1,1,1,0,1
684,1,1,1,1,1,0,1
685,4,4,4,4,4,2,4
686,1,1,1,1,1,0,1
693,4,4,4,4,4,0,4
695,4,4,4,4,4,0,4
697,7,7,7,7,7,1,7
698,5,5,5,5,5,0,5
699,1,1,1,1,1,0,1
700,2,2,2,2,2,1,2
701,2,2,2,2,2,0,2
703,3,3,3,3,3,0,3
704,12,12,12,12,12,2,12
705,1,1,1,1,1,0,1
707,1,1,1,1,1,1,1
708,1,1,1,1,1,0,1
710,1,1,1,1,1,0,1
711,5,5,5,5,5,1,5
712,5,5,5,5,5,2,5
713,2,2,2,2,2,0,2
715,2,2,2,2,2,2,2
718,6,6,6,6,6,0,6
719,7,7,7,7,7,1,7
723,2,2,2,2,2,1,2
724,4,4,4,4,4,1,4
727,3,3,3,3,3,2,3
728,3,3,3,3,3,0,3
729,3,3,3,3,3,0,3
730,13,13,13,13,13,2,13
731,2,2,2,2,2,0,2
735,10,10,10,10,10,1,10
736,15,15,15,15,15,0,15
737,12,12,12,12,12,0,12
738,7,7,7,7,7,0,7
740,1,1,1,1,1,0,1
743,10,10,10,10,10,1,10
744,1,1,1,1,1,0,1
745,7,7,7,7,7,2,7
746,15,15,15,15,15,5,15
747,7,7,7,7,7,3,7
748,7,7,7,7,7,0,7
751,3,3,3,3,3,0,3
754,1,1,1,1,1,0,1
755,2,2,2,2,2,0,2
759,4,4,4,4,4,2,4
760,3,3,3,3,3,0,3
762,1,1,1,1,1,0,1
764,1,1,1,1,1,0,1
765,3,3,3,3,3,0,3
767,2,2,2,2,2,0,2
768,3,3,3,3,3,0,3
771,4,4,4,4,4,0,4
772,1,1,1,1,1,0,1
773,1,1,1,1,1,1,1
775,1,1,1,1,1,0,1
776,1,1,1,1,1,0,1
777,2,2,2,2,2,0,2
781,1,1,1,1,1,0,1
784,3,3,3,3,3,1,3
785,1,1,1,1,1,0,1
786,1,1,1,1,1,0,1
788,9,9,9,9,9,1,9
789,3,3,3,3,3,0,3
790,2,2,2,2,2,0,2
791,5,5,5,5,5,0,5
795,8,8,8,8,8,0,8
796,1,1,1,1,1,0,1
799,1,1,1,1,1,0,1
800,5,5,5,5,5,0,5
804,1,1,1,1,1,0,1
805,2,2,2,2,2,0,2
807,3,3,3,3,3,0,3
808,13,13,13,13,13,4,13
811,2,2,2,2,2,0,2
812,3,3,3,3,3,0,3
813,3,3,3,3,3,0,3
814,1,1,1,1,1,0,1
817,1,1,1,1,1,0,1
818,5,5,5,5,5,1,5
819,3,3,3,3,3,1,3
821,4,4,4,4,4,0,4
822,3,3,3,3,3,0,3
828,7,7,7,7,7,1,7
829,1,1,1,1,1,0,1
830,3,3,3,3,3,1,3
831,6,6,6,6,6,3,6
832,16,16,16,16,16,0,16
833,1,1,1,1,1,0,1
838,2,2,2,2,2,0,2
840,3,3,3,3,3,1,3
844,3,3,3,3,3,0,3
847,1,1,1,1,1,0,1
850,26,26,26,26,26,5,26
853,6,6,6,6,6,2,6
854,1,1,1,1,1,1,1
856,1,1,1,1,1,0,1
857,3,3,3,3,3,0,3
858,10,10,10,10,10,0,10
860,3,3,3,3,3,1,3
861,2,2,2,2,2,1,2
869,6,6,6,6,6,0,6
870,4,4,4,4,4,0,4
872,2,2,2,2,2,0,2
875,2,2,2,2,2,1,2
876,1,1,1,1,1,0,1
878,1,1,1,1,1,0,1
879,1,1,1,1,1,0,1
883,1,1,1,1,1,0,1
885,3,3,3,3,3,1,3
887,5,5,5,5,5,4,5
890,2,2,2,2,2,0,2
892,2,2,2,2,2,0,2
893,4,4,4,4,4,0,4
901,1,1,1,1,1,0,1
902,1,1,1,1,1,1,1
908,1,1,1,1,1,0,1
911,1,1,1,1,1,0,1
915,1,1,1,1,1,0,1
916,6,6,6,6,6,1,6
920,1,1,1,1,1,0,1
922,5,5,5,5,5,0,5
923,6,6,6,6,6,1,6
926,1,1,1,1,1,0,1
927,1,1,1,1,1,0,1
928,7,7,7,7,7,2,7
929,8,8,8,8,8,1,8
932,1,1,1,1,1,1,1
933,5,5,5,5,5,0,5
934,2,2,2,2,2,0,2
937,3,3,3,3,3,1,3
941,6,6,6,6,6,0,6
943,1,1,1,1,1,0,1
944,1,1,1,1,1,0,1
945,10,10,10,10,10,0,10
946,2,2,2,2,2,0,2
948,8,8,8,8,8,0,8
952,2,2,2,2,2,2,2
953,1,1,1,1,1,0,1
957,2,2,2,2,2,0,2
963,4,4,4,4,4,0,4
964,2,2,2,2,2,0,2
968,2,2,2,2,2,0,2
969,1,1,1,1,1,0,1
970,4,4,4,4,4,0,4
972,1,1,1,1,1,0,1
973,1,1,1,1,1,1,1
980,6,6,6,6,6,1,6
981,1,1,1,1,1,0,1
983,1,1,1,1,1,0,1
987,1,1,1,1,1,0,1
989,4,4,4,4,4,0,4
1000,1,1,1,1,1,0,1
1001,1,1,1,1,1,0,1
1002,3,3,3,3,3,0,3
1007,1,1,1,1,1,0,1
1009,2,2,2,2,2,0,2
1016,4,4,4,4,4,2,4
1017,1,1,1,1,1,0,1
1018,1,1,1,1,1,0,1
1020,1,1,1,1,1,0,1
1021,1,1,1,1,1,0,1
1023,4,4,4,4,4,0,4
1027,2,2,2,2,2,0,2
1028,3,3,3,3,3,1,3
1030,2,2,2,2,2,0,2
1031,7,7,7,7,7,1,7
1036,1,1,1,1,1,0,1
1037,1,1,1,1,1,0,1
1039,9,9,9,9,9,1,9
1042,16,16,16,16,16,2,16
1043,1,1,1,1,1,0,1
1044,2,2,2,2,2,0,2
1045,10,10,10,10,10,2,10
1052,1,1,1,1,1,0,1
1053,1,1,1,1,1,1,1
1055,2,2,2,2,2,0,2
1058,1,1,1,1,1,0,1
1059,1,1,1,1,1,0,1
1061,2,2,2,2,2,0,2
1062,3,3,3,3,3,0,3
1065,2,2,2,2,2,0,2
1066,2,2,2,2,2,1,2
1067,1,1,1,1,1,1,1
1069,1,1,1,1,1,0,1
1070,3,3,3,3,3,0,3
1072,3,3,3,3,3,1,3
1076,3,3,3,3,3,0,3
1078,12,12,12,12,12,0,12
1079,3,3,3,3,3,0,3
1080,7,7,7,7,7,1,7
1084,3,3,3,3,3,0,3
1085,1,1,1,1,1,0,1
1086,6,6,6,6,6,2,6
1087,1,1,1,1,1,0,1
1089,3,3,3,3,3,1,3
1090,1,1,1,1,1,0,1
1093,1,1,1,1,1,0,1
1095,4,4,4,4,4,0,4
1096,1,1,1,1,1,0,1
1097,3,3,3,3,3,0,3
1098,1,1,1,1,1,0,1
1100,1,1,1,1,1,1,1
1106,2,2,2,2,2,0,2
1107,2,2,2,2,2,1,2
1111,1,1,1,1,1,0,1
1114,1,1,1,1,1,0,1
1115,4,4,4,4,4,2,4
1116,1,1,1,1,1,1,1
1117,2,2,2,2,2,0,2
1118,1,1,1,1,1,0,1
1119,1,1,1,1,1,0,1
1120,3,3,3,3,3,0,3
1121,1,1,1,1,1,0,1
1123,3,3,3,3,3,1,3
1126,1,1,1,1,1,0,1
1128,4,4,4,4,4,2,4
1131,2,2,2,2,2,0,2
1135,1,1,1,1,1,0,1
1136,1,1,1,1,1,0,1
1139,1,1,1,1,1,0,1
1140,1,1,1,1,1,0,1
1142,3,3,3,3,3,0,3
1143,9,9,9,9,9,3,9
1144,1,1,1,1,1,0,1
1145,2,2,2,2,2,0,2
1147,4,4,4,4,4,0,4
1148,3,3,3,3,3,3,3
1150,1,1,1,1,1,0,1
1154,1,1,1,1,1,0,1
1161,1,1,1,1,1,1,1
1162,15,15,15,15,15,0,15
1163,1,1,1,1,1,0,1
1165,1,1,1,1,1,0,1
1168,6,6,6,6,6,1,6
1174,10,10,10,10,10,0,10
1175,4,4,4,4,4,1,4
1176,7,7,7,7,7,0,7
1182,2,2,2,2,2,0,2
1184,11,11,11,11,11,5,11
1191,1,1,1,1,1,0,1
1193,13,13,13,13,13,1,13
1195,1,1,1,1,1,0,1
1199,1,1,1,1,1,0,1
1200,1,1,1,1,1,0,1
1202,1,1,1,1,1,0,1
1208,2,2,2,2,2,0,2
1212,1,1,1,1,1,0,1
1213,1,1,1,1,1,0,1
1214,3,3,3,3,3,0,3
1215,2,2,2,2,2,0,2
1218,3,3,3,3,3,1,3
1219,2,2,2,2,2,1,2
1226,2,2,2,2,2,1,2
1228,1,1,1,1,1,0,1
1230,2,2,2,2,2,0,2
1231,1,1,1,1,1,0,1
1232,4,4,4,4,4,0,4
1236,1,1,1,1,1,0,1
1237,1,1,1,1,1,0,1
1241,1,1,1,1,1,0,1
1245,2,2,2,2,2,1,2
1249,1,1,1,1,1,1,1
1253,3,3,3,3,3,0,3
1254,1,1,1,1,1,0,1
1258,6,6,6,6,6,2,6
1259,7,7,7,7,7,1,7
1260,1,1,1,1,1,0,1
1261,3,3,3,3,3,0,3
1263,2,2,2,2,2,0,2
1267,1,1,1,1,1,0,1
1268,2,2,2,2,2,0,2
1269,4,4,4,4,4,0,4
1270,1,1,1,1,1,0,1
1279,3,3,3,3,3,0,3
1289,1,1,1,1,1,0,1
1291,2,2,2,2,2,0,2
1296,1,1,1,1,1,0,1
1297,3,3,3,3,3,0,3
1300,1,1,1,1,1,0,1
1303,2,2,2,2,2,1,2
1305,2,2,2,2,2,0,2
1306,4,4,4,4,4,1,4
1307,1,1,1,1,1,0,1
1309,1,1,1,1,1,1,1
1310,3,3,3,3,3,1,3
1311,1,1,1,1,1,0,1
1316,2,2,2,2,2,0,2
1321,3,3,3,3,3,0,3
1322,1,1,1,1,1,0,1
1329,1,1,1,1,1,0,1
1333,1,1,1,1,1,0,1
1336,4,4,4,4,4,1,4
1343,5,5,5,5,5,2,5
1345,8,8,8,8,8,0,8
1346,1,1,1,1,1,0,1
1351,2,2,2,2,2,1,2
1354,1,1,1,1,1,0,1
1361,1,1,1,1,1,0,1
1362,3,3,3,3,3,0,3
1363,1,1,1,1,1,0,1
1364,1,1,1,1,1,0,1
1366,2,2,2,2,2,0,2
1367,1,1,1,1,1,0,1
1374,2,2,2,2,2,0,2
1376,1,1,1,1,1,0,1
1379,1,1,1,1,1,0,1
1384,1,1,1,1,1,0,1
1387,1,1,1,1,1,0,1
1398,2,2,2,2,2,0,2
1399,4,4,4,4,4,0,4
1401,2,2,2,2,2,0,2
1404,5,5,5,5,5,1,5
1405,1,1,1,1,1,0,1
1407,2,2,2,2,2,0,2
1408,5,5,5,5,5,1,5
1409,1,1,1,1,1,0,1
1410,1,1,1,1,1,0,1
1411,1,1,1,1,1,1,1
1412,1,1,1,1,1,0,1
1417,2,2,2,2,2,0,2
1418,1,1,1,1,1,0,1
1419,2,2,2,2,2,1,2
1423,3,3,3,3,3,0,3
1424,1,1,1,1,1,0,1
1428,1,1,1,1,1,0,1
1429,2,2,2,2,2,1,2
1431,1,1,1,1,1,0,1
1434,1,1,1,1,1,1,1
1435,2,2,2,2,2,0,2
