ip,device
1173,3
1176,60
1179,9
1186,8
1195,1
1197,2
1204,39
1206,4
1210,2
1220,6
1228,2
1234,1
1235,48
1237,22
1247,1
1256,55
1261,20
1264,12
1265,1
1266,1
1268,8
1269,3
1273,3
1281,1
1285,63
1289,13
1290,1
1292,23
1293,3
1294,2
1304,7
1306,1
1308,5
1310,3
1313,47
1314,9
1319,15
1334,4
1335,5
1337,54
1343,28
1355,6
1360,1
1365,47
1367,1
1370,9
1372,51
1376,5
1382,9
1388,4
1393,9
1394,6
1395,50
1413,16
1414,4
1415,51
1421,1
1425,2
1430,3
1433,9
1437,8
1438,11
1439,50
1448,3
1456,16
1457,3
1460,4
1462,49
1468,9
1471,9
1477,1
1483,1
1485,6
1486,16
1491,5
1493,1
1494,36
1498,4
1503,23
1504,9
1508,2
1517,4
1519,44
1524,19
1528,3
1532,2
1534,12
1543,12
1547,5
1549,5
1550,5
1556,20
1557,3
1560,14
1564,2
1567,3
1577,12
1579,4
1583,3
1584,15
1586,12
1600,9
1602,5
1603,5
1610,8
1611,16
1616,9
1618,4
1626,9
1629,3
1630,6
1632,13
1634,29
1638,10
1640,6
1651,2
1655,4
1658,2
1659,53
1661,14
1665,4
1673,12
1675,10
1688,6
1693,2
1694,49
1695,1
1697,6
1699,19
1700,17
1702,6
1709,14
1713,3
1716,11
1720,8
1721,5
1722,4
1728,11
1732,6
1745,6
1747,4
1748,6
1755,12
1759,14
1761,3
1762,12
1763,8
1766,1
1768,10
1769,8
1771,2
1778,17
1780,8
1785,15
1790,5
1798,4
1801,17
1803,5
1806,1
1810,78
1813,2
1815,11
1821,11
1826,1
1831,12
1839,12
1840,12
1863,11
1868,7
1871,12
1878,3
1881,20
1890,40
1892,2
1895,7
1909,29
1919,42
1921,2
1923,10
1944,1
1947,4
1964,3
1975,1
1985,1
1990,3
1992,1
1994,5
2011,6
2017,12
2018,1
2022,8
2024,1
2027,26
2052,35
2056,3
2070,1
2076,148
2085,4
2086,5
2087,1
2095,121
2106,3
2113,6
2114,6
2127,14
2128,5
2130,1
2139,1
2140,2
2143,5
2144,3
2153,25
2160,6
2161,1
2164,6
2165,2
2171,2
2174,1
2176,1
2177,13
2178,32
2180,55
2186,10
2187,9
2189,44
2196,6
2201,10
2207,67
2208,28
2210,12
2211,49
2214,5
2223,1
2227,2
2228,44
2235,16
2239,5
2249,1
2253,12
2254,53
2258,9
2259,7
2272,10
2276,1
2277,6
2281,9
2284,69
2286,2
2290,13
2293,23
2306,22
2308,1
2310,2
2311,2
2315,1
2321,37
2325,1
2332,70
2334,8
2336,15
2337,1
2343,4
2348,31
2357,14
2358,39
2359,3
2363,12
2364,3
2369,2
2372,28
2378,4
2379,1
2382,46
2385,6
2387,14
2388,9
2391,12
2395,4
2399,11
2400,2
2404,14
2407,14
2409,8
2415,3
2420,7
2421,4
2432,1
2433,3
2437,15
2439,9
2440,12
2441,11
2442,4
2450,19
2458,2
2463,27
2468,11
2469,3
2470,2
2471,7
2478,18
2479,1
2481,7
2488,4
2490,5
2491,22
2494,6
2495,1
2498,6
2502,5
2508,5
2509,9
2510,2
2511,19
2513,5
2517,5
2520,6
2528,33
2531,2
2535,1
2538,10
2539,20
2542,1
2544,24
2546,1
2547,5
2550,2
2561,11
2563,12
2564,91
2565,42
2572,8
2574,18
2577,6
2578,11
2579,8
2585,10
2589,22
2595,3
2596,6
2600,78
2603,40
2608,2
2614,8
2615,2
2616,9
2620,1
2621,7
2631,10
2634,1
2638,6
2639,3
2640,2
2642,11
2643,37
2647,10
2649,4
2651,2
2655,1
2656,2
2657,11
2658,3
2660,6
2664,1
2665,5
2668,1
2669,8
2671,46
2672,1
2679,5
2680,5
2682,3
2683,5
2684,3
2686,1
2693,2
2696,6
2698,32
2706,5
2707,1
2708,2
2710,2
2711,5
2712,2
2713,13
2714,5
2720,15
2726,1
2728,29
2732,15
2733,1
2735,5
2736,5
2740,2
2741,2
2742,9
2746,2
2748,21
2751,3
2753,7
2759,45
2760,2
2761,8
2762,1
2765,7
2768,1
2770,78
2773,1
2774,10
2778,4
2780,7
2782,3
2784,2
2785,4
2786,10
2788,4
2799,8
2800,4
2801,2
2805,59
2808,6
2810,32
2813,2
2818,2
2821,9
2823,4
2825,2
2827,10
2828,6
2840,1
2841,8
2842,1
2844,5
2847,1
2849,8
2850,14
2851,2
2852,2
2857,7
2858,8
2860,10
2864,18
2868,8
2870,1
2871,4
2872,15
2875,1
2876,11
2881,5
2884,2
2886,17
2895,5
2896,12
2899,1
2904,7
2907,10
2911,5
2917,2
2918,3
2919,6
2920,14
2929,3
2933,4
2936,5
2937,8
2938,4
2941,10
2943,1
2944,11
2949,2
2955,2
2959,14
2960,3
2961,2
2962,6
2965,15
2970,7
2976,14
2979,2
2981,1
2982,13
2986,1
2988,13
2994,1
2996,6
3002,12
3005,4
3006,1
3009,36
3015,2
3017,4
3020,7
3028,3
3033,4
3038,30
3040,1
3041,5
3045,6
3048,1
3066,18
3067,16
3071,25
3073,9
3080,1
3081,10
3082,1
3084,5
3085,8
3088,1
3091,2
3093,19
3095,5
3101,7
3102,33
3103,7
3106,1
3111,5
3113,19
3118,1
3128,0
3131,9
3133,33
3136,2
3139,15
3151,7
3157,2
3162,24
3163,3
3165,2
3167,10
3178,51
3179,5
3180,6
3183,7
3189,6
3190,2
3196,16
3197,39
3210,63
3212,9
3218,15
3219,45
3222,1
3225,12
3231,2
3235,2
3238,4
3239,39
3241,3
3247,11
3253,13
3262,51
3265,2
3266,6
3268,7
3269,2
3271,13
3279,37
3288,49
3289,9
3294,14
3307,27
3313,59
3314,12
3317,4
3325,12
3332,30
3338,7
3339,71
3346,10
3350,1
3355,28
3359,5
3363,68
3365,6
3372,2
3376,14
3382,21
3399,3
3403,9
3406,3
3408,1
3410,37
3425,1
3432,4
3435,8
3436,4
3437,28
3441,2
3442,4
3449,0
3452,2
3454,11
3457,9
3461,28
3467,1
3471,6
3472,18
3479,8
3481,9
3482,2
3488,19
3498,1
3499,3
3502,4
3505,17
3511,12
3513,15
3520,37
3530,2
3531,2
3533,1
3542,7
3546,1
3550,1
3553,17
3559,24
3564,18
3576,28
3582,12
3589,3
3590,3
3591,20
3594,18
3605,3
3611,16
3612,4
3615,1
3618,16
3620,2
3634,12
3639,4
3641,12
3649,6
3653,4
3661,8
3664,22
3674,4
3682,1
3688,2
3692,2
3698,28
3715,3
3719,6
3723,18
3727,6
3730,5
3737,18
3743,24
3744,27
3745,4
3749,4
3756,1
3757,1
3763,18
3766,2
3774,16
3782,22
3784,2
3786,1
3788,5
3795,19
3797,8
3804,20
3808,8
3811,2
3813,1
3814,6
3823,10
3828,29
3835,13
3843,2
3844,4
3845,7
3850,9
3859,19
3860,1
3862,14
3870,2
3875,18
3877,3
3882,12
3889,26
3894,1
3896,4
3903,3
3904,2
3905,3
3907,7
3918,3
3929,4
3938,5
3941,10
3950,5
3956,4
3957,9
3964,309
3966,4
3981,2
3985,1
3994,314
4010,7
4015,9
4017,2
4018,1
4019,316
4023,4
4033,8
4042,1
4052,298
4062,1
4065,3
4068,1
4075,8
4092,2
4093,1
4100,4
4102,12
4107,6
4118,2
4121,7
4123,7
4126,17
4127,41
4130,5
4136,5
4138,7
4139,4
4146,11
4147,35
4152,6
4162,5
4168,1
4172,9
4173,3
4174,8
4177,6
4180,12
4192,7
4193,3
4197,15
4203,5
4205,11
4214,2
4220,12
4226,3
4241,7
4242,7
4248,4
4251,2
4252,2
4253,3
4259,3
4264,10
4269,3
4270,1
4271,7
4274,11
4275,1
4277,3
4280,6
4284,3
4287,5
4293,1
4295,74
4296,6
4299,2
4302,6
4303,5
4304,2
4305,12
4308,7
4312,7
4315,2
4322,7
4324,78
4328,7
4330,11
4332,5
4333,2
4334,9
4338,5
4339,2
4345,13
4353,46
4356,3
4360,12
4361,10
4364,11
4365,4
4367,4
4374,2
4375,24
4378,2
4381,7
4382,38
4384,3
4389,7
4391,1
4393,7
4395,1
4396,2
4398,7
4399,1
4400,2
4402,4
4403,4
4405,120
4407,20
4412,3
4413,7
4414,45
4419,1
4420,13
4427,4
4429,6
4432,3
4433,3
4434,2
4435,4
4436,23
4437,18
4439,11
4442,61
4444,26
4446,1
4448,1
4451,45
4457,1
4461,8
4463,5
4464,5
4465,14
4466,4
4468,10
4470,6
4475,16
4476,20
4480,1
4484,3
4486,41
4489,10
4496,9
4497,3
4501,2
4502,27
4503,11
4505,2
4511,22
4514,1
4516,3
4521,25
4526,4
4529,1
4535,9
4536,48
4537,2
4539,2
4540,2
4542,15
4543,15
4544,3
4548,3
4553,55
4554,3
4559,6
4560,7
4562,2
4563,1
4565,23
4567,7
4570,24
4571,11
4573,41
4577,3
4578,2
4592,6
4600,3
4601,1
4602,15
4604,24
4608,10
4609,2
4611,4
4613,2
4617,8
4623,3
4626,5
4628,2
4629,18
4630,15
4633,43
4634,1
4636,2
4643,6
4645,7
4646,28
4649,8
4652,17
4653,14
4664,2
4666,5
4668,3
4670,25
4676,18
4678,14
4679,3
4680,11
4682,1
4683,12
4689,5
4690,10
4691,2
4693,22
4700,13
4701,22
4709,9
4710,11
4714,4
4716,2
4720,30
4722,10
4724,23
4727,24
4729,5
4737,14
4738,10
4740,1
4741,5
4744,9
4745,9
4753,3
4754,20
4757,7
4759,26
4760,1
4763,7
4764,4
4769,8
4775,3
4777,1
4779,9
4784,24
4787,12
4789,6
4799,5
4800,3
4803,3
4806,11
4812,12
4820,1
4825,16
4828,8
4830,12
4831,18
4833,6
4838,1
4841,10
4843,2
4846,1
4855,5
4856,3
4862,8
4863,4
4864,2
4865,4
4868,4
4869,8
4870,4
4875,17
4876,4
4883,18
4885,1
4886,36
4889,25
4901,1
4903,17
4906,6
4913,7
4919,38
4930,9
4936,7
4938,3
4942,8
4946,24
4948,34
4951,24
4955,2
4957,6
4960,1
4963,7
4964,9
4966,4
4977,44
4983,30
4988,14
4989,50
4990,1
5008,3
5011,45
5016,3
5018,8
5022,12
5024,6
5025,10
5026,1
5032,32
5033,6
5036,34
5038,39
5044,23
5052,11
5060,6
5061,6
5064,5
5065,6
5072,22
5074,45
5077,22
5086,6
5088,7
5098,37
5101,1
5115,5
5118,9
5121,11
5125,5
5126,1
5128,24
5132,9
5135,32
5146,14
5147,513
5151,11
5153,10
5154,6
5168,30
5171,1
5177,9
5178,590
5180,3
5182,1
5184,2
5185,6
5200,32
5201,1
5208,3
5211,4
5214,4
5215,1
5220,1
5222,37
5223,6
5224,2
5231,3
5248,3
5250,28
5252,2
5257,8
5259,4
5262,5
5268,3
5270,20
5271,1
5275,7
5281,37
5282,9
5286,9
5288,0
5296,16
5299,47
5300,4
5305,2
5306,25
5308,11
5313,10
5314,3145
5318,5
5322,11
5323,25
5325,11
5328,44
5329,2
5333,34
5336,8
5338,15
5341,6
5347,9
5348,3511
5359,38
5362,7
5368,1
5369,7
5371,9
5374,6
5380,10
5381,4
5384,11
5387,8
5390,11
5393,21
5399,4
5402,18
5404,8
5406,7
5413,5
5417,19
5418,12
5419,17
5423,3
5425,13
5428,1
5429,6
5433,50
5440,5
5442,16
5444,3
5448,12
5449,58
5450,7
5452,3
5462,16
5464,14
5467,3
5468,16
5473,3
5483,12
5492,2
5493,4
5497,5
5499,5
5503,21
5509,6
5512,13
5514,2
5516,4
5518,12
5519,1
5520,2
5524,11
5526,5
5534,3
5536,5
5543,57
5554,6
5555,10
5564,18
5574,58
5587,12
5589,16
5591,7
5596,55
5597,26
5603,1
5604,6
5609,6
5610,10
5612,5
5618,8
5619,46
5621,29
5626,1
5627,2
5629,3
5630,8
5632,2
5633,2
5641,5
5644,6
5648,51
5654,1
5660,4
5661,3
5665,13
5667,3
5671,1
5674,4
5676,51
5682,5
5689,9
5690,6
5695,3
5698,5
5701,4
5704,60
5711,1
5712,2
5721,7
5726,1
5729,212
5734,5
5735,1
5740,44
5744,2
5746,10
5749,3
5751,2
5758,1
5761,70
5765,3
5775,4
5781,5
5785,9
5787,25
5788,58
5794,2
5806,1
5812,8
5813,5
5817,3
5818,4
5830,6
5832,4
5834,3
5843,22
5851,1
5853,25
5861,18
5873,2
5884,16
5889,3
5912,11
5916,4
5918,4
5921,5
5927,2
5932,10
5933,2
5936,20
5945,1
5954,9
5956,1
5960,2
5964,2
5972,1
5973,1
5988,4
5992,3
5994,1
6001,4
6006,3
6020,1
6022,2
6037,9
6043,2
6044,2
6052,2
6055,2
6065,6
6074,2
6087,16
6097,4
6101,11
6106,1
6113,8
6115,1
6123,8
6124,13
6125,10
6127,2
6130,11
6131,6
6135,2
6136,9
6137,2
6143,8
6145,9
6148,9
6149,1
6152,5
6154,4
6155,16
6157,12
6160,8
6168,12
6173,10
6174,15
6176,5
6178,10
6189,6
6191,2
6192,4
6194,10
6196,9
6197,2
6198,3
6199,1
6204,6
6209,8
6212,6
6213,10
6215,8
6219,3
6221,7
6222,1
6223,2
6225,1
6227,29
6228,1
6232,3
6234,7
6242,15
6250,5
6252,1
6254,5
6255,6
6256,12
6259,3
6260,10
6262,10
6268,9
6269,13
6277,4
6278,4
6283,9
6294,8
6298,7
6303,2
6306,5
6308,31
6313,49
6318,2
6319,23
6322,7
6326,11
6329,1
6330,60
6331,3
6332,9
6334,1
6336,59
6341,18
6351,18
6352,3
6354,11
6358,1
6360,44
6361,5
6363,1
6365,4
6367,49
6369,3
6371,12
6375,40
6377,5
6380,27
6382,6
6388,4
6393,10
6395,64
6396,2
6410,10
6412,1
6414,56
6416,3
6417,3
6418,1
6423,1
6424,42
6425,4
6426,3
6428,9
6432,6
6437,60
6452,2
6454,10
6456,5
6462,48
6465,5
6473,2
6478,6
6479,2
6481,62
6482,8
6484,23
6486,1
6490,1
6491,4
6505,22
6506,1
6509,9
6516,7
6517,68
6518,11
6521,9
6524,9
6534,6
6537,1
6540,1
6541,3
6545,9
6547,12
6549,15
6551,1
6552,3
6553,34
6556,2
6557,5
6558,17
6568,10
6572,1
6576,2
6577,7
6578,10
6580,4
6581,33
6582,2
6595,15
6602,2
6603,6
6607,4
6609,9
6612,2
6620,14
6621,2
6627,14
6628,2
6635,3
6638,1
6640,11
6641,50
6643,1
6650,2
6652,1
6654,2
6655,4
6662,14
6668,51
6674,4
6680,1
6681,40
6686,3
6689,41
6692,15
6694,1
6696,10
6698,3
6702,3
6704,2
6705,10
6707,2
6710,30
6713,44
6721,25
6723,12
6726,6
6731,1
6736,1
6740,43
6748,3
6750,5
6755,1
6757,14
6760,2
6764,3
6773,33
6776,1
6783,16
6792,3
6794,19
6799,1
6805,7
6806,3
6807,9
6814,13
6817,4
6826,9
6828,7
6831,4
6835,1
6840,8
6853,8
6856,2
6858,2
6859,4
6860,9
6861,15
6871,20
6873,6
6878,10
6884,7
6887,15
6897,8
6899,4
6903,14
6908,24
6911,2
6913,13
6922,1
6926,1
6927,5
6931,6
6932,2
6934,8
6942,12
6943,15
6944,2
6950,1
6952,9
6954,1
6957,11
6959,9
6965,1
6967,13
6971,15
6974,11
6976,3
6982,12
6989,1
6993,5
6996,13
6997,3
7006,13
7011,2
7015,4
7018,3
7021,23
7022,4
7029,3
7030,7
7031,5
7032,9
7034,1
7038,1
7039,1
7043,9
7047,5
7048,2
7051,8
7054,9
7056,5
7057,11
7059,7
7064,10
7065,10
7068,15
7069,9
7072,16
7078,6
7080,2
7082,2
7083,5
7087,8
7088,4
7091,3
7093,5
7094,5
7098,21
7101,11
7105,9
7110,34
7115,5
7119,7
7120,48
7122,2
7123,1
7124,4
7125,18
7127,2
7130,13
7131,1
7134,9
7141,2
7146,37
7151,18
7152,6
7153,47
7156,2
7157,2
7158,15
7160,4
7164,2
7168,16
7169,1
7172,17
7178,47
7181,2
7184,1
7194,6
7195,15
7196,6
7198,3
7203,5
7204,13
7208,1
7210,30
7211,4
7212,1
7213,2
7223,5
7227,4
7228,13
7230,1
7235,12
7240,1
7243,41
7246,34
7249,3
7250,1
7251,3
7252,3
7255,29
7257,8
7258,3
7259,1
7264,1
7265,2
7266,11
7275,33
7276,2
7283,48
7288,4
7291,7
7292,9
7293,1
7294,10
7295,20
7299,23
7304,31
7308,44
7310,7
7313,44
7314,7
7315,15
7318,45
7321,1
7323,2
7330,2
7335,41
7336,5
7338,10
7340,9
7343,13
7346,57
7348,5
7350,39
7351,2
7352,8
7359,3
7360,3
7364,2
7370,11
7371,13
7372,5
7373,48
7374,1
7376,5
7377,13
7379,1
7384,1
7387,18
7389,10
7390,10
7393,9
7395,32
7397,5
7399,20
7406,4
7413,6
7418,9
7420,8
7422,2
7426,5
7428,2
7431,2
7432,19
7434,2
7435,33
7439,4
7440,1
7441,35
7443,2
7444,7
7448,25
7450,3
7455,1
7462,9
7466,2
7471,54
7474,9
7476,6
7477,1
7481,11
7489,7
7493,3
7497,7
7500,2
7502,20
7505,1
7510,7
7516,1
7517,15
7521,37
7522,11
7524,1
7525,2
7526,2
7527,1
7528,5
7529,3
7535,4
7538,27
7542,6
7546,3
7553,21
7554,15
7556,5
7559,4
7561,4
7563,2
7565,2
7567,39
7569,5
7572,11
7574,5
7576,2
7583,4
7590,7
7592,3
7593,5
7595,37
7597,2
7598,13
7599,1
7600,1
7602,16
7611,6
7612,16
7613,4
7615,10
7616,2
7617,18
7625,9
7629,5
7637,3
7645,63
7647,10
7649,11
7650,9
7653,5
7663,1
7664,44
7666,2
7680,3
7682,12
7683,4
7690,21
7699,57
7702,3
7707,6
7708,22
7709,56
7715,1
7717,19
7726,1
7737,27
7743,1
7749,57
7754,18
7755,1
7775,63
7779,17
7785,30
7793,58
7794,1
7795,10
7796,2
7799,6
7800,6
7801,4
7806,2
7808,34
7812,1
7813,60
7814,3
7815,10
7819,12
7830,1
7831,6
7838,26
7840,14
7841,12
7858,2
7859,3
7861,30
7862,2
7872,10
7873,9
7875,3
7880,16
7882,2
7884,8
7891,2
7895,13
7901,6
7902,3
7906,14
7907,3
7909,8
7912,1
7914,5
7916,1
7920,6
7925,21
7927,3
7936,2
7938,38
7939,1
7944,69
7945,14
7948,1
7949,2
7955,32
7961,1
7962,60
7967,9
7971,8
7977,6
7983,16
7991,11
7993,3
8005,8
8019,10
8026,9
8027,4
8035,14
8037,4
8046,7
8048,1
8049,9
8060,15
8068,6
8071,12
8081,23
8084,8
8086,16
8096,8
8103,4
8104,39
8106,2
8109,6
8111,9
8112,3
8120,7
8129,13
8134,4
8144,11
8150,1
8152,1
8156,4
8157,3
8166,6
8171,12
8179,110
8180,71
8182,5
8185,34
8190,9
8191,6
8199,11
8200,1
8201,5
8208,109
8209,14
8210,16
8215,46
8217,1
8219,18
8224,13
8225,28
8230,130
8232,1
8233,1
8246,16
8249,1
8253,15
8254,4
8259,102
8260,4
8262,5
8263,1
8266,7
8267,48
8282,9
8286,8
8292,92
8293,2
8297,63
8299,1
8301,32
8310,10
8314,16
8318,111
8323,21
8327,8
8329,1
8330,47
8334,6
8343,2
8347,14
8351,3
8352,100
8353,2
8354,2
8356,51
8361,2
8362,36
8364,48
8366,10
8369,4
8373,2
8374,2
8378,20
8380,1
8383,9
8391,123
8392,3
8394,2
8397,27
8399,8
8401,37
8403,37
8407,11
8408,3
8410,9
8413,13
8419,1
8423,16
8424,2
8426,3
8429,4
8430,53
8438,52
8443,5
8444,3
8450,9
8451,4
8456,3
8459,4
8461,1
8468,10
8469,42
8482,52
8483,3
8484,3
8486,11
8491,2
8492,13
8493,1
8495,27
8499,107
8502,1
8503,8
8504,1
8505,34
8506,53
8507,12
8515,1
8520,9
8521,6
8524,6
8528,2
8530,1
8531,16
8533,23
8536,113
8538,3
8539,53
8540,2
8541,20
8544,1
8552,7
8555,1
8556,10
8557,46
8559,4
8566,5
8569,2
8571,17
8576,3
8577,16
8580,37
8582,27
8589,5
8590,4
8595,24
8598,1
8599,24
8606,2
8610,19
8615,46
8619,2
8620,7
8625,3
8627,2
8632,17
8634,2
8635,6
8639,1
8645,20
8655,18
8657,2
8658,2
8660,32
8661,18
8664,3
8672,8
8674,1
8681,16
8691,4
8692,9
8694,25
8696,5
8699,9
8700,3
8704,20
8710,21
8712,1
8718,312
8720,23
8724,3
8726,2
8732,14
8733,7
8742,1
8745,3
8749,30
8751,1
8760,20
8763,3
8768,10
8769,2
8774,6
8780,5
8786,16
8790,22
8791,5
8794,8
8795,24
8796,10
8799,10
8800,2
8802,4
8804,5
8808,4
8812,20
8825,9
8827,30
8828,2
8830,5
8833,13
8836,4
8847,10
8848,31
8858,2
8859,12
8863,9
8870,31
8876,5
8881,9
8886,3
8888,1
8898,22
8901,1
8911,11
8921,2
8924,14
8929,9
8940,10
8943,16
8954,2
8958,8
8964,10
8968,15
8973,13
8975,18
8989,5
8992,10
8994,13
8995,14
8998,4
9005,13
9015,12
9021,15
9024,8
9032,4
9033,2
9034,4
9038,13
9039,27
9041,20
9044,1
9050,5
9053,11
9057,14
9069,25
9071,22
9072,38
9073,17
9083,9
9084,2
9087,7
9090,19
9094,17
9095,5
9096,11
9099,20
9101,33
9106,11
9113,2
9116,1
9117,2
9118,7
9119,2
9120,2
9121,1
9124,1
9127,6
9135,23
9136,35
9137,7
9140,1
9141,17
9142,5
9145,3
9147,6
9153,6
9161,27
9169,2
9177,7
9181,9
9182,19
9190,24
9193,4
9194,5
9207,8
9209,12
9216,6
9220,1
9224,8
9227,7
9232,8
9234,19
9236,8
9237,7
9238,8
9239,4
9241,5
9245,3
9250,5
9251,1
9252,4
9260,1
9264,1
9267,3
9268,7
9272,21
9277,1
9281,4
9282,8
9287,10
9289,1
9295,3
9297,2
9298,5
9303,11
9306,12
9308,8
9311,4
9322,6
9323,6
9324,19
9325,1
9326,14
9328,1
9330,9
9331,8
9337,12
9341,6
9345,2
9358,8
9360,16
9362,21
9366,3
9370,1
9376,14
9377,1
9379,1
9380,1
9382,5
9383,10
9387,14
9392,6
9393,2
9394,14
9400,7
9403,8
9412,22
9414,11
9419,8
9427,3
9429,3
9430,6
9434,4
9435,15
9442,6
9452,2
9455,9
9457,1
9460,10
9461,5
9479,12
9488,1
9492,9
9496,7
9499,9
9510,3
9512,17
9513,12
9517,3
9521,15
9522,2
9524,2
9540,5
9541,16
9543,1
9546,6
9550,5
9553,1
9557,25
9569,0
9574,5
9579,11
9581,7
9582,1
9584,18
9586,1
9587,14
9590,2
9592,3
9593,1
9595,4
9602,16
9607,14
9608,11
9610,3
9611,6
9617,12
9624,26
9629,9
9631,2
9632,7
9633,7
9634,1
9647,22
9658,7
9659,1
9660,4
9663,5
9674,37
9684,3
9685,3
9689,2
9692,3
9694,1
9698,4
9704,35
9707,4
9719,2
9724,2
9731,7
9734,46
9748,3
9752,4
9753,2
9759,6
9760,7
9761,2
9766,48
9773,1
9781,12
9783,4
9784,11
9786,1
9787,6
9794,13
9795,42
9801,2
9805,2
9808,4
9815,10
9816,9
9820,40
9831,3
9832,2
9838,5
9839,2
9840,13
9841,17
9843,1
9844,4
9849,51
9851,17
9855,2
9862,15
9867,6
9868,3
9874,40
9876,41
9878,8
9880,1
9881,2
9884,1
9886,18
9889,5
9893,15
9900,51
9903,11
9904,1
9905,6
9915,12
9916,32
9917,7
9923,44
9925,5
9931,12
9938,3
9943,1
9946,34
9951,2
9952,4
9955,86
9959,4
9964,23
9966,1
9972,47
9974,3
9975,4
9979,2
9980,1
9984,12
9989,3
9990,1
9993,31
9999,3
10005,17
10012,6
10023,37
10030,8
10031,1
10032,5
10034,8
10035,2
10036,3
10037,1
10041,10
10042,5
10043,2
10053,6
10056,1
10065,14
10066,9
10068,11
10071,25
10072,2
10074,7
10077,1
10082,2
10084,1
10085,4
10089,9
10090,9
10093,3
10097,22
10099,3
10108,4
10110,2
10118,6
10120,10
10123,1
10125,2
10130,2
10135,7
10136,4
10140,2
10142,30
10150,11
10152,5
10153,8
10155,4
10158,8
10159,10
10161,4
10162,7
10169,14
10171,1
10182,6
10186,4
10194,2
10195,3
10197,6
10200,4
10201,3
10205,4
10207,15
10209,5
10211,3
10216,11
10218,5
10219,8
10220,1
10223,1
10228,1
10231,1
10236,7
10238,22
10239,48
10248,4
10252,18
10254,4
10257,6
10265,4
10274,38
10275,38
10278,5
10283,3
10286,3
10294,5
10299,2
10301,4
10302,1
10304,9
10307,24
10314,37
10316,10
10317,1
10320,1
10325,1
10326,4
10328,26
10329,6
10335,52
10338,18
10347,11
10349,4
10353,2
10355,28
10356,62
10358,2
10359,1
10371,5
10378,5
10385,32
10387,4
10388,3
10389,5
10392,43
10394,5
10399,3
10403,2
10406,11
10409,24
10410,47
10422,1
10425,1
10427,1
10428,26
10434,41
10439,10
10445,7
10448,6
10450,1
10455,2
10456,32
10464,12
10469,3
10472,6
10476,5
10477,2
10478,2
10482,36
10486,3
10487,20
10497,1
10500,11
10511,12
10516,1
10517,2
10518,11
10527,10
10531,1
10542,2
10544,16
10548,11
10558,1
10559,2
10571,6
10572,6
10574,5
10575,3
10580,1
10584,13
10590,4
10595,9
10597,5
10606,2
10607,9
10613,7
10616,15
10618,4
10621,4
10653,8
10658,2
10675,7
10699,9
10700,4
10702,24
10703,1
10711,1
10716,14
10719,13
10720,4
10725,5
10729,2
10737,13
10741,11
10743,3
10745,1
10746,7
10748,1
10749,18
10759,2
10760,18
10770,7
10773,14
10774,4
10776,1
10777,4
10778,2
10779,7
10780,1
10785,20
10790,1
10796,13
10797,1
10806,6
